id,full_name,password,username
1,hung,$2a$10$qRc3WdkXaUivmaU8.HaEaO47KcaL4obct8PZ0oYT6Uoz7NEfpv.yC,hung@example.com
2,"Register Test",$2a$10$aKSmOQlJEGJue0dgsRJ/5.3aP6BXYtQVTnh02bQtw9xvKtnj/Lv/u,test@reg.com
3,"Register Test",$2a$10$I9fsa86.co6UjzigT5vUruhGu3U1fcmZO4h6UGiXyPEmO.tM0Pz5C,test1@reg.com
4,"Register Test",$2a$10$GliD6nSPqfr17sdgBIIbJOX77.rL.8LgwisZG4daA/B.TAzpfaB46,test2@reg.com
5,"Register Test 1",$2a$10$n6/4VYVVwovQohZGJhIXouaavx0ffdEpchCkhXQoWxj9W4c/gADWW,test22@reg.com
6,"Register Test 1",$2a$10$bi3Y8BjUr2S.jFyDzVUgvOp/cJai39OVgFup1m3RdQ4TTGvedep12,test223@reg.com
7,"Register Test Special",$2a$10$1U.yMNNnRn1nzkQDtK8bK.9wZG2jIeOgzjYVeJUZGRnfHPoJslNBe,testspec@reg.com
8,"Register Test Special 2",$2a$10$LflIu1bZ4h.l1ZQu3GqsjuwG5xQ3ikzPXeG3lnp23roDUm2eN.q9K,testspec2@reg.com
9,"Register Test Special 2",$2a$10$olswmLpPhC8MlIajBL4vmeSU2p6C5dFaZev5OFVcaAhCptiGIK5YS,spec2@reg.com
10,"Special 2",$2a$10$iTLXSMiW8XRelYgsKuWyieLZqNjfeG.fs3eI7x4wHADwhW9uZWXS.,spec23@reg.com
11,testRegister,$2a$10$hA325BUBcRFd.DW200ASiOArpTR/9kh1KyPgG6umGA4uUviScjgaK,1234@gmail.com
12,"Special 2",$2a$10$ArgQ/dFnl17DaXLD8wF9seotZUNkgJwlK6vQ0P4b83gf6L7p/NcAy,spec231@reg.com
13,"Special 2",$2a$10$uG0ocBDqQ2Gjf.ScDEJ2gOgokxwpyLIGkr5PkvQn0eT0K1H3qmO5O,spec231om
14,Test,$2a$10$hlq5gEmGnj0Kl6Cag5gh2OUOxs30ms9nMLnPMKxBOSt94KiYCSfh.,user_moi_999@test.com
15,Test,$2a$10$DMSP2yw2QAH6gJi0oRxUDOmx4ODVH84toACB9SRYmyrvUTzXfFkOK," "
16,Test,$2a$10$Tn4I/BF3bEvq5T/u0DQ.u.5jU6CGa4TgG5PluwV0hCG8EXgkxQQXW,
17,"Register Test",$2a$10$xgE3LKGrsAQ7Zu9Bgd8qa.ARRy6.TfC6idPWyh4DDo902pirRyoge,test888@reg.com
18,"Register Test",$2a$10$mAFMGdzmIZhjHl9Uq67e7.j/EE/4n9eI5SlTcz/QJdOo6m0jUszqe,test8898@reg.com
19,"Register Test",$2a$10$NVBVtDvzeb628iP4yb6CVuZ8yGT0aLQePDWlz9qX84fDPQ1GPlTly,test889@reg.com
20,"Register Test",$2a$10$mf5LPsDr9OkuukYLnNtQd.nmPlTtHaDYgPY7xnHd/GX1SQRMtzOmS,test889
21,"Register Test",$2a$10$o5H50qpFh5dRE3Eyb3jzKO6OjgLTt3u/5HKtehaUqFvdhsfW.48Iq,test889e
22,"Special 2",$2a$10$FdXQtPIgwgKqIo/nMZn4t.XcFr5UExoXFaRCqmoVhuYIf5QX5xAPu,spec231omai
